SA2_MAINCODE_2011,SA2_NAME_2011,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE
122021423,Warriewood - Mona Vale,16370,Pittwater (A),1,100
122031424,Beacon Hill - Narraweena,18000,Warringah (A),1,100
122031425,Cromer,18000,Warringah (A),1,100
122031426,Dee Why - North Curl Curl,18000,Warringah (A),1,100
122031427,Forestville - Killarney Heights,18000,Warringah (A),1,100
122031428,Frenchs Forest - Belrose,18000,Warringah (A),1,100
122031429,Freshwater - Brookvale,18000,Warringah (A),1,100
122031430,Manly Vale - Allambie Heights,18000,Warringah (A),0.9999999,99.9999937
122031431,Narrabeen - Collaroy,18000,Warringah (A),1,100
122031432,Terrey Hills - Duffys Forest,18000,Warringah (A),1,100
123011433,Camden - Ellis Lane,11450,Camden (A),0.8493375,84.9337501
123011433,Camden - Ellis Lane,18400,Wollondilly (A),0.1506625,15.0662499
123011434,Elderslie - Harrington Park,11450,Camden (A),1,100
123011435,Mount Annan - Currans Hill,11450,Camden (A),1,99.9999958
123021436,Bradbury - Wedderburn,11500,Campbelltown (C),1,100
123021437,Campbelltown - Woodbine,11500,Campbelltown (C),1,100
123021438,Claymore - Eagle Vale - Raby,11500,Campbelltown (C),1,99.9999952
123021439,Holsworthy Military Area,11500,Campbelltown (C),0.5,50
123021439,Holsworthy Military Area,17150,Sutherland Shire (A),0.5,50
123021440,Ingleburn - Denham Court,11500,Campbelltown (C),0.9278398,92.7839787
123021440,Ingleburn - Denham Court,14900,Liverpool (C),0.0721602,7.2160213
123021441,Leumeah - Minto Heights,11500,Campbelltown (C),1,100
123021442,Macquarie Fields - Glenfield,11500,Campbelltown (C),1,100
123021443,Minto - St Andrews,11500,Campbelltown (C),1,100
123021444,Rosemeadow - Glen Alpine,11500,Campbelltown (C),1,100
123031445,Bargo,18400,Wollondilly (A),1,100
123031446,Douglas Park - Appin,18400,Wollondilly (A),1,100
123031447,Picton - Tahmoor - Buxton,18350,Wingecarribee (A),0.004619,0.4619014
123031447,Picton - Tahmoor - Buxton,18400,Wollondilly (A),0.995381,99.5380986
123031448,The Oaks - Oakdale,18400,Wollondilly (A),1,100
124011449,Blackheath - Megalong Valley,10900,Blue Mountains (C),1,100
124011450,Blaxland - Warrimoo - Lapstone,10900,Blue Mountains (C),1,100
124011451,Blue Mountains - North,10900,Blue Mountains (C),0.9999269,99.9926856
124011452,Katoomba - Leura,10900,Blue Mountains (C),1,100
124011453,Lawson - Hazelbrook - Linden,10900,Blue Mountains (C),1,100
124011454,Springwood - Winmalee,10900,Blue Mountains (C),1,100
124011455,Wentworth Falls,10900,Blue Mountains (C),1,100
124021456,Blue Mountains - South,10900,Blue Mountains (C),0.0043448,0.4344784
124021456,Blue Mountains - South,16100,Oberon (A),0.0001418,0.0141832
124021456,Blue Mountains - South,18400,Wollondilly (A),0.9955134,99.5513384
124031457,Cambridge Park,16350,Penrith (C),1,100
124031458,Castlereagh - Cranebrook,16350,Penrith (C),1,100
124031459,Emu Plains - Leonay,16350,Penrith (C),1,100
124031460,Glenmore Park - Regentville,16350,Penrith (C),1,100
124031461,Jamisontown - South Penrith,16350,Penrith (C),1,100
124031462,Kingswood - Werrington,16350,Penrith (C),1,100
124031463,Mulgoa - Luddenham - Orchard Hills,14900,Liverpool (C),0.131328,13.1328007
124031463,Mulgoa - Luddenham - Orchard Hills,16350,Penrith (C),0.868672,86.8671993
124031464,Penrith,16350,Penrith (C),1,100
124031465,Warragamba - Silverdale,18400,Wollondilly (A),0.9999998,99.9999802
124041466,Richmond - Clarendon,13800,Hawkesbury (C),1,100
124041467,Windsor - Bligh Park,13800,Hawkesbury (C),1,100
124041468,Yarramundi - Londonderry,13800,Hawkesbury (C),0.1264966,12.6496552
124041468,Yarramundi - Londonderry,16350,Penrith (C),0.8735034,87.3503448
124051469,Erskine Park,16350,Penrith (C),1,100
124051470,St Clair,16350,Penrith (C),1,100
124051471,St Marys - Colyton,16350,Penrith (C),1,100
125011472,Auburn,10200,Auburn (C),1,100
125011473,Homebush Bay - Silverwater,10200,Auburn (C),1,100
125011474,Lidcombe - Regents Park,10200,Auburn (C),0.9771534,97.7153448
125011474,Lidcombe - Regents Park,10350,Bankstown (C),0.0228466,2.2846552
125011475,Rookwood Cemetery,10200,Auburn (C),1,100
125021476,Carlingford,14000,Hornsby (A),0.2529754,25.2975394
125021476,Carlingford,16250,Parramatta (C),0.229295,22.9294954
125021476,Carlingford,17420,The Hills Shire (A),0.5177297,51.7729653
125021477,Ermington - Rydalmere,16250,Parramatta (C),1,100
125021478,Oatlands - Dundas Valley,16250,Parramatta (C),0.7710957,77.1095692
125021478,Oatlands - Dundas Valley,17420,The Hills Shire (A),0.2289043,22.8904308
125031479,Chester Hill - Sefton,10350,Bankstown (C),1,100
125031480,Fairfield - East,12850,Fairfield (C),0.9899319,98.9931946
125031480,Fairfield - East,13950,Holroyd (C),0.0100681,1.0068054
125031481,Granville - Clyde,16250,Parramatta (C),0.9999451,99.9945085
125031482,Greystanes - Pemulwuy,13950,Holroyd (C),1,100
125031483,Guildford - South Granville,16250,Parramatta (C),1,100
125031484,Guildford West - Merrylands West,13950,Holroyd (C),1,100
125031485,Merrylands - Holroyd,13950,Holroyd (C),1,100
125031486,Smithfield Industrial,13950,Holroyd (C),1,100
125031487,Yennora Industrial,13950,Holroyd (C),1,100
125041488,Girraween - Westmead,13950,Holroyd (C),1,100
125041489,North Parramatta,16250,Parramatta (C),0.9669495,96.6949451
125041489,North Parramatta,17420,The Hills Shire (A),0.0330505,3.3050549
125041490,North Rocks,17420,The Hills Shire (A),1,100
125041491,Northmead,16250,Parramatta (C),0.7812222,78.1222165
125041491,Northmead,17420,The Hills Shire (A),0.2187778,21.8777835
125041492,Parramatta - Rosehill,13950,Holroyd (C),0.1454626,14.5462557
125041492,Parramatta - Rosehill,16250,Parramatta (C),0.8545374,85.4537443
125041493,Toongabbie - Constitution Hill,16250,Parramatta (C),1,100
125041494,Winston Hills,16250,Parramatta (C),0.9954653,99.5465279
125041494,Winston Hills,17420,The Hills Shire (A),0.0045347,0.4534721
126011495,Epping - North Epping,14000,Hornsby (A),0.7156307,71.5630689
126011495,Epping - North Epping,16250,Parramatta (C),0.2843693,28.4369311
126011496,Pennant Hills - Cheltenham,14000,Hornsby (A),1,100
126021497,Eastwood - Denistone,14000,Hornsby (A),0.0388714,3.8871422
126021497,Eastwood - Denistone,16250,Parramatta (C),0.1317013,13.1701325
126021497,Eastwood - Denistone,16700,Ryde (C),0.8294273,82.9427253
126021498,Gladesville - Huntleys Point,14100,Hunters Hill (A),0.2540967,25.4096688
126021498,Gladesville - Huntleys Point,16700,Ryde (C),0.7459033,74.5903312
126021499,Hunters Hill - Woolwich,14100,Hunters Hill (A),1,100
126021500,Macquarie Park - Marsfield,16700,Ryde (C),1,100
126021501,North Ryde - East Ryde,16700,Ryde (C),1,100
126021502,Ryde - Putney,16700,Ryde (C),1,100
126021503,West Ryde - Meadowbank,16700,Ryde (C),1,100
127011504,Ashcroft - Busby - Miller,14900,Liverpool (C),1,100
127011505,Badgerys Creek - Greendale,14900,Liverpool (C),1,100
127011506,Cobbitty - Leppington,11450,Camden (A),0.9842529,98.4252873
127011506,Cobbitty - Leppington,14900,Liverpool (C),0.0157471,1.5747127
127011507,Green Valley - Cecil Hills,14900,Liverpool (C),1,100
127011508,Hoxton Park - Horningsea Park,14900,Liverpool (C),1,100
127021509,Bonnyrigg Heights - Bonnyrigg,12850,Fairfield (C),1,100
127021510,Bossley Park - Abbotsbury,12850,Fairfield (C),1,100
127021511,Cabramatta - Lansvale,12850,Fairfield (C),1,100
127021512,Cabramatta West - Mount Pritchard,12850,Fairfield (C),0.970592,97.0592043
127021512,Cabramatta West - Mount Pritchard,14900,Liverpool (C),0.029408,2.9407957
127021513,Canley Vale - Canley Heights,12850,Fairfield (C),1,100
127021514,Edensor Park,12850,Fairfield (C),1,100
127021515,Fairfield,12850,Fairfield (C),1,100
127021516,Fairfield - West,12850,Fairfield (C),1,100
127021517,Greenfield Park - Prairiewood,12850,Fairfield (C),1,100
127021518,Horsley Park - Kemps Creek,12850,Fairfield (C),0.6153142,61.531417
127021518,Horsley Park - Kemps Creek,16350,Penrith (C),0.3846858,38.468583
127021519,Smithfield - Wetherill Park,12850,Fairfield (C),1,100
127021520,St Johns Park - Wakeley,12850,Fairfield (C),1,100
127021521,Wetherill Park Industrial,12850,Fairfield (C),1,100
127031522,Casula,14900,Liverpool (C),1,100
127031523,Chipping Norton - Moorebank,14900,Liverpool (C),1,100
127031524,Holsworthy - Wattle Grove,14900,Liverpool (C),0.969666,96.9665982
127031524,Holsworthy - Wattle Grove,17150,Sutherland Shire (A),0.030334,3.0334018
127031525,Liverpool - Warwick Farm,14900,Liverpool (C),1,100
127031526,Prestons - Lurnea,14900,Liverpool (C),1,100
128011527,Caringbah - Lilli Pilli,17150,Sutherland Shire (A),1,100
128011528,Cronulla - Kurnell - Bundeena,17150,Sutherland Shire (A),1,100
128011529,Gymea - Grays Point,17150,Sutherland Shire (A),1,100
128011530,Miranda - Yowie Bay,17150,Sutherland Shire (A),1,100
128011531,Sylvania - Taren Point,17150,Sutherland Shire (A),1,100
128021532,Engadine - Loftus,17150,Sutherland Shire (A),1,100
128021533,Heathcote - Waterfall,17150,Sutherland Shire (A),1,100
128021534,Illawong - Alfords Point,17150,Sutherland Shire (A),1,100
128021535,Menai - Lucas Heights - Woronora,17150,Sutherland Shire (A),1,100
128021536,Oyster Bay - Como - Jannali,17150,Sutherland Shire (A),1,100
128021537,Royal National Park,17150,Sutherland Shire (A),1,100
128021538,Sutherland - Kirrawee,17150,Sutherland Shire (A),1,100
201011001,Alfredton,20570,Ballarat (C),1,100
201011002,Ballarat,20570,Ballarat (C),1,100
201011003,Ballarat - North,20570,Ballarat (C),0.9942802,99.4280218
201011003,Ballarat - North,25150,Moorabool (S),0.0057198,0.5719782
201011004,Ballarat - South,20570,Ballarat (C),1,100
201011005,Buninyong,20570,Ballarat (C),0.9857658,98.5765802
201011005,Buninyong,25150,Moorabool (S),0.0142342,1.4234198
201011006,Delacombe,20570,Ballarat (C),1,100
201011007,Smythes Creek,22490,Golden Plains (S),1,100
201011008,Wendouree - Miners Rest,20570,Ballarat (C),1,100
201021009,Bacchus Marsh Region,25150,Moorabool (S),1,100
201021010,Creswick - Clunes,20570,Ballarat (C),0.1691406,16.9140617
201021010,Creswick - Clunes,22910,Hepburn (S),0.8239859,82.3985947
201021010,Creswick - Clunes,25150,Moorabool (S),0.0068734,0.6873436
201021011,Daylesford,22910,Hepburn (S),0.976054,97.6053968
201021011,Daylesford,25150,Moorabool (S),0.023946,2.3946032
201021012,Gordon (Vic.),20570,Ballarat (C),0.0739828,7.3982813
201021012,Gordon (Vic.),22910,Hepburn (S),0.0107227,1.0722665
201021012,Gordon (Vic.),25150,Moorabool (S),0.9152945,91.5294521
201031013,Avoca,20260,Ararat (RC),0.0653739,6.5373914
201031013,Avoca,20570,Ballarat (C),0.0151327,1.5132663
201031013,Avoca,22910,Hepburn (S),0.0015135,0.1513539
201031013,Avoca,25990,Pyrenees (S),0.9179799,91.7979885
201031014,Beaufort,20260,Ararat (RC),0.0046958,0.469577
201031014,Beaufort,20570,Ballarat (C),0.056602,5.6601984
201031014,Beaufort,25990,Pyrenees (S),0.9387022,93.8702246
201031015,Golden Plains - North,22490,Golden Plains (S),1,100
201031016,Maryborough (Vic.),21670,Central Goldfields (S),1,100
201031017,Maryborough Region,21670,Central Goldfields (S),0.9589459,95.8945863
201031017,Maryborough Region,23940,Loddon (S),0.03908,3.9079959
201031017,Maryborough Region,25430,Mount Alexander (S),0.0019742,0.1974178
202011018,Bendigo,22620,Greater Bendigo (C),1,100
202011019,California Gully - Eaglehawk,22620,Greater Bendigo (C),1,100
202011020,East Bendigo - Kennington,22620,Greater Bendigo (C),1,100
202011021,Flora Hill - Spring Gully,22620,Greater Bendigo (C),1,100
202011022,Kangaroo Flat - Golden Square,22620,Greater Bendigo (C),1,100
202011023,Maiden Gully,22620,Greater Bendigo (C),1,100
202011024,Strathfieldsaye,22620,Greater Bendigo (C),1,100
202011025,White Hills - Ascot,22620,Greater Bendigo (C),1,100
202021026,Bendigo Region - South,22620,Greater Bendigo (C),0.9812587,98.1258709
202021026,Bendigo Region - South,23940,Loddon (S),0.0179344,1.7934417
202021026,Bendigo Region - South,25430,Mount Alexander (S),0.0008069,0.0806873
202021027,Castlemaine,25430,Mount Alexander (S),1,100
202021028,Castlemaine Region,21670,Central Goldfields (S),0.0011011,0.1101104
202021028,Castlemaine Region,22620,Greater Bendigo (C),0.039745,3.9745019
202021028,Castlemaine Region,23940,Loddon (S),0.0020791,0.2079061
202021028,Castlemaine Region,25430,Mount Alexander (S),0.9570748,95.7074816
202021029,Heathcote,22620,Greater Bendigo (C),1,100
202021030,Kyneton,24130,Macedon Ranges (S),0.9981883,99.8188305
202021030,Kyneton,25430,Mount Alexander (S),0.0018117,0.1811695
202021031,Woodend,24130,Macedon Ranges (S),1,100
202031032,Bendigo Region - North,22620,Greater Bendigo (C),0.9739414,97.3941422
202031032,Bendigo Region - North,23940,Loddon (S),0.0260586,2.6058578
202031033,Loddon,23940,Loddon (S),1,100
203011034,Bannockburn,22490,Golden Plains (S),1,100
203011035,Golden Plains - South,22490,Golden Plains (S),1,100
203011036,Winchelsea,26490,Surf Coast (S),1,100
203021037,Belmont,22750,Greater Geelong (C),1,100
203021038,Corio - Norlane,22750,Greater Geelong (C),1,100
203021039,Geelong,22750,Greater Geelong (C),1,100
203021040,Geelong West - Hamlyn Heights,22750,Greater Geelong (C),1,100
203021041,Grovedale,22750,Greater Geelong (C),1,100
203021042,Highton,22750,Greater Geelong (C),1,100
203021043,Lara,22750,Greater Geelong (C),1,100
203021044,Leopold,22750,Greater Geelong (C),1,100
203021045,Newcomb - Moolap,22750,Greater Geelong (C),1,100
203021046,Newtown (Vic.),22750,Greater Geelong (C),1,100
203021047,North Geelong - Bell Park,22750,Greater Geelong (C),1,100
203031048,Clifton Springs,22750,Greater Geelong (C),1,100
203031049,Lorne - Anglesea,26490,Surf Coast (S),1,100
203031050,Ocean Grove - Barwon Heads,22750,Greater Geelong (C),0.9891045,98.9104463
203031050,Ocean Grove - Barwon Heads,26490,Surf Coast (S),0.0108955,1.0895537
203031051,Portarlington,22750,Greater Geelong (C),1,100
203031052,Queenscliff,22750,Greater Geelong (C),0.2629609,26.2960893
203031052,Queenscliff,26080,Queenscliffe (B),0.7370391,73.7039107
203031053,Torquay,26490,Surf Coast (S),1,100
204011054,Alexandra,25620,Murrindindi (S),0.9998354,99.9835365
204011054,Alexandra,29399,Unincorporated Vic,0.0001645,0.0164475
204011055,Euroa,25620,Murrindindi (S),0.0008402,0.0840202
204011055,Euroa,26430,Strathbogie (S),0.9991598,99.9159798
204011056,Kilmore - Broadford,24850,Mitchell (S),1,100
204011057,Mansfield (Vic.),24250,Mansfield (S),0.9684657,96.8465724
204011057,Mansfield (Vic.),25620,Murrindindi (S),0.001718,0.1717983
204011057,Mansfield (Vic.),29399,Unincorporated Vic,0.0298159,2.9815924
204011058,Nagambie,24850,Mitchell (S),0.0112489,1.1248916
204011058,Nagambie,26430,Strathbogie (S),0.9887511,98.8751084
204011059,Seymour,24850,Mitchell (S),1,100
204011060,Seymour Region,24850,Mitchell (S),1,100
204011061,Upper Yarra Valley,27450,Yarra Ranges (S),1,100
204011062,Yea,24850,Mitchell (S),0.0082481,0.8248095
204011062,Yea,25620,Murrindindi (S),0.9917519,99.1751905
204021063,Benalla,21010,Benalla (RC),1,100
204021064,Benalla Region,21010,Benalla (RC),0.9815267,98.1526698
204021064,Benalla Region,22830,Greater Shepparton (C),0.0113763,1.1376337
204021064,Benalla Region,26430,Strathbogie (S),0.0070955,0.7095487
204021065,Rutherglen,23350,Indigo (S),1,100
204021066,Wangaratta,26700,Wangaratta (RC),1,100
204021067,Wangaratta Region,26700,Wangaratta (RC),1,100
204031068,Beechworth,23350,Indigo (S),1,100
204031069,Bright - Mount Beauty,20110,Alpine (S),0.9503371,95.0337057
204031069,Bright - Mount Beauty,29399,Unincorporated Vic,0.0496629,4.9662943
204031070,Chiltern - Indigo Valley,23350,Indigo (S),1,100
204031071,Myrtleford,20110,Alpine (S),1,100
204031072,Towong,26670,Towong (S),1,100
204031073,West Wodonga,27170,Wodonga (RC),1,100
204031074,Wodonga,27170,Wodonga (RC),1,100
204031075,Yackandandah,20110,Alpine (S),0.0052146,0.5214592
204031075,Yackandandah,23350,Indigo (S),0.9884373,98.8437307
204031075,Yackandandah,26670,Towong (S),0.0063481,0.6348101
205011076,Drouin,20830,Baw Baw (S),1,100
205011077,Mount Baw Baw Region,20830,Baw Baw (S),0.9636094,96.3609439
205011077,Mount Baw Baw Region,23810,Latrobe (C),0.0325334,3.25334
205011077,Mount Baw Baw Region,29399,Unincorporated Vic,0.0038572,0.3857161
205011078,Trafalgar (Vic.),20830,Baw Baw (S),0.9978797,99.7879726
205011078,Trafalgar (Vic.),23810,Latrobe (C),0.0005655,0.0565472
205011078,Trafalgar (Vic.),26170,South Gippsland (S),0.0015548,0.1554802
205011079,Warragul,20830,Baw Baw (S),1,100
205021080,Alps - East,22110,East Gippsland (S),1,100
205021081,Bairnsdale,22110,East Gippsland (S),1,100
205021082,Bruthen - Omeo,22110,East Gippsland (S),0.9853155,98.531547
205021082,Bruthen - Omeo,26810,Wellington (S),0.0146845,1.468453
205021083,Lake King,22110,East Gippsland (S),1,100
205021084,Lakes Entrance,22110,East Gippsland (S),1,100
205021085,Orbost,22110,East Gippsland (S),1,100
205021086,Paynesville,22110,East Gippsland (S),1,100
205031087,Foster,26170,South Gippsland (S),0.9999999,99.9999878
205031088,French Island,29399,Unincorporated Vic,1,100
205031089,Korumburra,20740,Bass Coast (S),0.0255006,2.5500584
205031089,Korumburra,20830,Baw Baw (S),0.0080051,0.800506
205031089,Korumburra,26170,South Gippsland (S),0.9664944,96.6494356
205031090,Leongatha,20830,Baw Baw (S),0.0010454,0.1045397
205031090,Leongatha,23810,Latrobe (C),0.006841,0.684102
205031090,Leongatha,26170,South Gippsland (S),0.9921136,99.2113583
205031091,Phillip Island,20740,Bass Coast (S),1,100
205031092,Wilsons Promontory,26170,South Gippsland (S),0.998464,99.846402
205031092,Wilsons Promontory,26810,Wellington (S),0.0003072,0.0307196
205031092,Wilsons Promontory,29399,Unincorporated Vic,0.0012288,0.1228784
205031093,Wonthaggi - Inverloch,20740,Bass Coast (S),0.9977535,99.7753481
205031093,Wonthaggi - Inverloch,26170,South Gippsland (S),0.0022465,0.2246519
205041094,Churchill,23810,Latrobe (C),0.9947313,99.4731291
205041094,Churchill,26170,South Gippsland (S),0.0052687,0.5268709
205041095,Moe - Newborough,20830,Baw Baw (S),0.0007796,0.0779624
205041095,Moe - Newborough,23810,Latrobe (C),0.9992204,99.9220376
205041096,Morwell,23810,Latrobe (C),1,100
205041097,Traralgon,23810,Latrobe (C),1,100
205041098,Yallourn North - Glengarry,20830,Baw Baw (S),0.0047221,0.4722058
205041098,Yallourn North - Glengarry,23810,Latrobe (C),0.9952779,99.5277942
205051099,Alps - West,26810,Wellington (S),1,100
205051100,Longford - Loch Sport,22110,East Gippsland (S),0.0010473,0.1047309
205051100,Longford - Loch Sport,26810,Wellington (S),0.9989527,99.8952691
205051101,Maffra,26810,Wellington (S),1,100
205051102,Rosedale,26810,Wellington (S),1,100
205051103,Sale,26810,Wellington (S),1,100
205051104,Yarram,26810,Wellington (S),1,100
206011105,Brunswick,25250,Moreland (C),1,100
206011106,Brunswick East,25250,Moreland (C),1,100
206011107,Brunswick West,25250,Moreland (C),0.9999999,99.9999924
206011108,Coburg,25250,Moreland (C),1,100
206011109,Pascoe Vale South,25250,Moreland (C),1,100
206021110,Alphington - Fairfield,21890,Darebin (C),1,100
206021111,Northcote,21890,Darebin (C),1,100
206021112,Thornbury,21890,Darebin (C),1,100
206031113,Ascot Vale,25060,Moonee Valley (C),1,100
206031114,Essendon - Aberfeldie,25060,Moonee Valley (C),1,100
206031115,Flemington,25060,Moonee Valley (C),1,100
206031116,Moonee Ponds,25060,Moonee Valley (C),1,100
206041117,Carlton,24600,Melbourne (C),1,100
206041118,Docklands,24600,Melbourne (C),1,100
206041119,East Melbourne,24600,Melbourne (C),1,100
206041120,Flemington Racecourse,24600,Melbourne (C),1,100
206041121,Kensington,24600,Melbourne (C),0.999794,99.9793973
206041121,Kensington,25060,Moonee Valley (C),0.000206,0.0206027
206041122,Melbourne,24600,Melbourne (C),1,100
206041123,North Melbourne,24600,Melbourne (C),1,100
206041124,Parkville,24600,Melbourne (C),1,100
206041125,South Yarra - West,24600,Melbourne (C),1,100
206041126,Southbank,24600,Melbourne (C),1,100
206041127,West Melbourne,24600,Melbourne (C),1,100
206051128,Albert Park,25900,Port Phillip (C),1,100
206051129,Elwood,25900,Port Phillip (C),1,100
206051130,Port Melbourne,25900,Port Phillip (C),1,100
206051131,Port Melbourne Industrial,24600,Melbourne (C),0.9980095,99.800951
206051131,Port Melbourne Industrial,25900,Port Phillip (C),0.0019905,0.199049
206051132,South Melbourne,25900,Port Phillip (C),1,100
206051133,St Kilda,25900,Port Phillip (C),1,100
206051134,St Kilda East,25900,Port Phillip (C),1,100
206061135,Armadale,26350,Stonnington (C),1,100
206061136,Prahran - Windsor,26350,Stonnington (C),1,100
206061137,South Yarra - East,26350,Stonnington (C),1,100
206061138,Toorak,26350,Stonnington (C),1,100
206071139,Abbotsford,27350,Yarra (C),1,100
206071140,Carlton North - Princes Hill,24600,Melbourne (C),0.0003621,0.0362064
206071140,Carlton North - Princes Hill,27350,Yarra (C),0.9996379,99.9637936
206071141,Collingwood,27350,Yarra (C),1,100
206071142,Fitzroy,27350,Yarra (C),1,100
206071143,Fitzroy North,25250,Moreland (C),0.0643138,6.4313762
206071143,Fitzroy North,27350,Yarra (C),0.9356862,93.5686238
206071144,Richmond (Vic.),27350,Yarra (C),1,100
206071145,Yarra - North,27350,Yarra (C),1,100
207011146,Ashburton (Vic.),21110,Boroondara (C),1,100
207011147,Balwyn,21110,Boroondara (C),1,100
207011148,Balwyn North,21110,Boroondara (C),1,100
207011149,Camberwell,21110,Boroondara (C),1,100
207011150,Glen Iris - East,21110,Boroondara (C),1,100
207011151,Hawthorn,21110,Boroondara (C),1,100
207011152,Hawthorn East,21110,Boroondara (C),1,100
207011153,Kew,21110,Boroondara (C),1,100
207011154,Kew East,21110,Boroondara (C),1,100
207011155,Surrey Hills (West) - Canterbury,21110,Boroondara (C),1,100
207021156,Bulleen,24210,Manningham (C),0.9999995,99.999954
207021157,Doncaster,24210,Manningham (C),0.9999998,99.9999837
207021158,Doncaster East,24210,Manningham (C),1,100
207021159,Templestowe,24210,Manningham (C),1,100
207021160,Templestowe Lower,24210,Manningham (C),1,100
207031161,Blackburn,26980,Whitehorse (C),1,100
207031162,Blackburn South,26980,Whitehorse (C),1,100
207031163,Box Hill,26980,Whitehorse (C),1,100
207031164,Box Hill North,26980,Whitehorse (C),1,100
207031165,Burwood,26980,Whitehorse (C),1,100
207031166,Burwood East,26980,Whitehorse (C),1,100
207031167,Surrey Hills (East) - Mont Albert,26980,Whitehorse (C),1,100
208011168,Beaumaris,20910,Bayside (C),1,100
208011169,Brighton (Vic.),20910,Bayside (C),1,100
208011170,Brighton East,20910,Bayside (C),1,100
208011171,Cheltenham - Highett (West),20910,Bayside (C),1,100
208011172,Hampton,20910,Bayside (C),1,100
208011173,Sandringham - Black Rock,20910,Bayside (C),1,100
208021174,Bentleigh - McKinnon,22310,Glen Eira (C),1,100
208021175,Bentleigh East,22310,Glen Eira (C),1,100
208021176,Carnegie,22310,Glen Eira (C),1,100
208021177,Caulfield - North,22310,Glen Eira (C),1,100
208021178,Caulfield - South,22310,Glen Eira (C),1,100
208021179,Elsternwick,22310,Glen Eira (C),1,100
208021180,Hughesdale,24970,Monash (C),1,100
208021181,Murrumbeena,22310,Glen Eira (C),1,100
208021182,Ormond - Glen Huntly,22310,Glen Eira (C),1,100
208031183,Aspendale Gardens - Waterways,23430,Kingston (C),1,100
208031184,Braeside,23430,Kingston (C),1,100
208031185,Carrum - Patterson Lakes,23430,Kingston (C),1,100
208031186,Chelsea - Bonbeach,23430,Kingston (C),1,100
208031187,Chelsea Heights,23430,Kingston (C),1,100
208031188,Cheltenham - Highett (East),23430,Kingston (C),1,100
208031189,Edithvale - Aspendale,23430,Kingston (C),1,100
208031190,Mentone,23430,Kingston (C),1,100
208031191,Moorabbin - Heatherton,23430,Kingston (C),1,100
208031192,Moorabbin Airport,23430,Kingston (C),1,100
208031193,Mordialloc - Parkdale,23430,Kingston (C),1,100
208041194,Malvern - Glen Iris,26350,Stonnington (C),1,100
208041195,Malvern East,26350,Stonnington (C),1,100
209011196,Bundoora - East,20660,Banyule (C),0.9999999,99.9999895
209011197,Greensborough,20660,Banyule (C),1,100
209011198,Heidelberg - Rosanna,20660,Banyule (C),1,100
209011199,Heidelberg West,20660,Banyule (C),1,100
209011200,Ivanhoe,20660,Banyule (C),1,100
209011201,Ivanhoe East - Eaglemont,20660,Banyule (C),1,100
209011202,Montmorency - Briar Hill,20660,Banyule (C),1,100
209011203,Viewbank - Yallambie,20660,Banyule (C),1,100
209011204,Watsonia,20660,Banyule (C),1,100
209021205,Kingsbury,21890,Darebin (C),1,100
209021206,Preston,21890,Darebin (C),1,100
209021207,Reservoir - East,21890,Darebin (C),1,100
209021208,Reservoir - West,21890,Darebin (C),1,100
209031209,Eltham,25710,Nillumbik (S),1,100
209031210,Hurstbridge,25710,Nillumbik (S),1,100
209031211,Kinglake,25620,Murrindindi (S),1,100
209031212,Panton Hill - St Andrews,25710,Nillumbik (S),1,100
209031213,Plenty - Yarrambat,25710,Nillumbik (S),1,100
209031214,Research - North Warrandyte,25710,Nillumbik (S),1,100
209031215,Wattle Glen - Diamond Creek,25710,Nillumbik (S),1,100
209041216,Bundoora - North,27070,Whittlesea (C),1,100
209041217,Bundoora - West,27070,Whittlesea (C),1,100
209041218,Epping,27070,Whittlesea (C),1,100
209041219,Lalor,27070,Whittlesea (C),1,100
209041220,Mill Park - North,27070,Whittlesea (C),1,100
209041221,Mill Park - South,27070,Whittlesea (C),1,100
209041222,South Morang,27070,Whittlesea (C),1,100
209041223,Thomastown,27070,Whittlesea (C),1,100
209041224,Wallan,24850,Mitchell (S),1,100
209041225,Whittlesea,27070,Whittlesea (C),1,100
210011226,Airport West,25060,Moonee Valley (C),1,100
210011227,Essendon Airport,25060,Moonee Valley (C),1,100
210011228,Keilor,21180,Brimbank (C),0.9998786,99.9878611
210011228,Keilor,23270,Hume (C),0.0001214,0.0121389
210011229,Keilor East,25060,Moonee Valley (C),1,100
210011230,Niddrie - Essendon West,25060,Moonee Valley (C),1,100
210011231,Strathmore,25060,Moonee Valley (C),1,100
210021232,Gisborne,24130,Macedon Ranges (S),1,100
210021233,Macedon,24130,Macedon Ranges (S),1,100
210021234,Riddells Creek,24130,Macedon Ranges (S),1,100
210021235,Romsey,24130,Macedon Ranges (S),1,100
210031236,Coburg North,25250,Moreland (C),1,100
210031237,Fawkner,25250,Moreland (C),1,100
210031238,Glenroy - Hadfield,25250,Moreland (C),1,100
210031239,Pascoe Vale,25250,Moreland (C),1,100
210041240,Sunbury,23270,Hume (C),1,100
210041241,Sunbury - South,23270,Hume (C),0.9236007,92.360074
210041241,Sunbury - South,24650,Melton (S),0.0763993,7.639926
210051242,Broadmeadows,23270,Hume (C),1,100
210051243,Campbellfield - Coolaroo,23270,Hume (C),1,100
210051244,Craigieburn - Mickleham,23270,Hume (C),1,100
210051245,Gladstone Park - Westmeadows,23270,Hume (C),1,100
210051246,Greenvale - Bulla,23270,Hume (C),1,100
