sp_name,value
Alphington,14.423692019423688
Brooklyn,20.259909177105143
Dandenong,15.554988189340063
Footscray,15.077387055742498
Geelong South,17.114088090521765
Mooroolbark,13.03298071988639
Richmond,16.088718474207894
Traralgon,13.789331489934671
