Health_factor,Average,Avg_PM10_cor,Max24hr_PM10_cor
smokers,14.2375,-0.2383869673847127,-0.1586399276021971
heart_disease,6.8625,0.4665043579151682,0.34370515765274484
pre_obese,31.15,-0.3168309204314352,0.22548990343425
obese,17.05,0.1588706751453701,0.488035738591363
